,brand,model,year,km,cc,owner,location,price,original_price
0,,,,,,,,0,
1,,,2019,"38,189",110,1 owner," owner Mhaske Market,Pune","59,000",10
2,Hero,Duet LX ,2019,"38,189",110,1 owner," owner Mhaske Market,Pune","59,000","62,000"
3,Honda,CB Shine 125 SP ,2018,"19,791",125,1 owner," owner Hinjawadi,Pune","80,000","83,000"
4,Bajaj,Avenger Street 150 ,2016,"27,297",150,2 owners," owners Pimple Saudagar,Pune","64,000","67,000"
5,Honda,Dio Std ,2019,"23,523",109,1 owner," owner Durga Mata Mandir,Pune","80,000","83,000"
6,Bajaj,Avenger Street 220 ,2015,"35,231",220,1 owner," owner Pimple Saudagar,Pune","69,000","72,000"
7,Bajaj,Pulsar 150 ,2015,"87,866",150,1 owner," owner Durga Mata Mandir,Pune","69,000","72,000"
8,TVS,Jupiter Std ,2016,"29,125",109,1 owner," owner Pimple Saudagar,Pune","66,000","69,000"
9,Honda,Activa 4G ,2017,"19,508",109,1 owner," owner Pimple Saudagar,Pune","69,000","72,000"
10,Honda,Activa 3G ,2015,"24,317",109,1 owner," owner Pimple Saudagar,Pune","64,000","67,000"
11,Honda,Activa 3G ,2015,"12,063",109,1 owner," owner Pimple Saudagar,Pune","64,000","67,000"
12,TVS,Jupiter Std ,2017,"25,731",109,1 owner," owner Pimple Saudagar,Pune","75,000","78,000"
13,TVS,Jupiter Std ,2019,"19,122",109,1 owner," owner Viman Nagar,Pune","75,000","78,000"
14,Bajaj,Avenger 220 ,2014,,220,1 owner," owner Pimple Saudagar,Pune","53,000","56,000"
15,Honda,Activa 5G ,2019,"34,213",109,1 owner," owner Viman Nagar,Pune","77,000","80,000"
16,Yamaha,R15 Yzf ,2016,"36,522",150,1 owner," owner Pimple Saudagar,Pune","92,000","95,000"
17,Piaggio,Vespa SXL ,2019,"30,664",150,2 owners," owners Pimple Saudagar,Pune","83,000","86,000"
18,Hero,Passion Pro i3s ,2019,"6,334",109,1 owner," owner Durga Mata Mandir,Pune","77,000","80,000"
19,Hero,Duet LX ,2018,"26,341",110,1 owner," owner Hinjawadi,Pune","68,000","71,000"
20,KTM,Duke 200 ,2014,"47,059",200,1 owner," owner Durga Mata Mandir,Pune","1,17,000","1,20,000"
21,Suzuki,Access 125 ,2014,2,125,1 owner," owner Pimple Saudagar,Pune","57,000","60,000"
22,Suzuki,Access Uz ,2014,"20,006",125,1 owner," owner Mhaske Market,Pune","44,000","47,000"
23,Suzuki,Access 125 ,2018,"17,428",125,1 owner," owner Hinjawadi,Pune","75,000","78,000"
24,KTM,Duke 390 ,2015,"16,359",390,2 owners," owners Mhaske Market,Pune","95,000","98,000"
25,TVS,Jupiter Std ,2018,"25,062",109,1 owner," owner Mhaske Market,Pune","67,000","70,000"
26,KTM,Duke 390 ,2016,"43,474",373,2 owners," owners Hinjawadi,Pune","1,45,000","1,48,000"
27,KTM,Duke 200 ,2015,"93,353",200,1 owner," owner Pimple Saudagar,Pune","1,25,000","1,28,000"
28,TVS,Scooty PepPlus ,2014,"3,724",90,1 owner," owner Pimple Saudagar,Pune","47,000","50,000"
29,Suzuki,Access 125 ,2015,"33,569",125,2 owners," owners Pimple Saudagar,Pune","55,000","58,000"
30,Yamaha,Fascino Std ,2017,"17,926",113,1 owner," owner Mhaske Market,Pune","55,000","58,000"
31,Royal Enfield,Bullet 350 ,2016,"34,156",350,1 owner," owner Hinjawadi,Pune","1,31,000","1,34,000"
